cell_id,sample_id,event_index,component_1,component_2,n_test_models,positive_count,negative_count,positive_frequency,negative_frequency
gated_alive:a_001:24911,a_001,24911,-29.626811981201172,-32.95745086669922,5,0,0,0.0,0.0
gated_alive:a_001:25103,a_001,25103,13.53681755065918,-16.239683151245117,5,0,0,0.0,0.0
gated_alive:a_001:25330,a_001,25330,-30.91449546813965,-44.396697998046875,5,0,0,0.0,0.0
gated_alive:a_001:25465,a_001,25465,-22.135034561157227,-45.02904510498047,5,0,0,0.0,0.0
gated_alive:a_001:25516,a_001,25516,-28.56972885131836,-33.650272369384766,5,0,0,0.0,0.0
gated_alive:a_001:25586,a_001,25586,14.61498737335205,-14.644614219665527,5,0,0,0.0,0.0
gated_alive:a_001:25811,a_001,25811,13.507270812988281,26.176959991455078,5,0,0,0.0,0.0
gated_alive:a_001:25928,a_001,25928,-1.1609115600585938,-33.93156814575195,5,0,0,0.0,0.0
gated_alive:a_001:25966,a_001,25966,-12.483057975769043,-42.27004623413086,5,0,0,0.0,0.0
gated_alive:a_001:26056,a_001,26056,8.255624771118164,35.640235900878906,5,0,0,0.0,0.0
gated_alive:a_001:26336,a_001,26336,-45.92402648925781,19.292818069458008,5,0,0,0.0,0.0
gated_alive:a_001:26342,a_001,26342,27.902700424194336,49.33791732788086,5,0,0,0.0,0.0
gated_alive:a_001:26346,a_001,26346,-28.852041244506836,-31.54897689819336,5,0,0,0.0,0.0
gated_alive:a_001:26681,a_001,26681,39.17331314086914,29.830228805541992,5,0,0,0.0,0.0
gated_alive:a_001:27043,a_001,27043,13.407520294189453,-48.679931640625,5,0,3,0.0,0.6
gated_alive:a_001:27074,a_001,27074,-20.599061965942383,-25.92905044555664,5,0,0,0.0,0.0
gated_alive:a_001:27227,a_001,27227,20.16071128845215,-46.14057159423828,5,0,0,0.0,0.0
gated_alive:a_001:27409,a_001,27409,-6.3017578125,-33.962486267089844,5,0,0,0.0,0.0
gated_alive:a_001:27511,a_001,27511,-30.911453247070312,-28.077852249145508,5,0,0,0.0,0.0
gated_alive:a_001:27583,a_001,27583,26.924589157104492,18.495861053466797,5,0,2,0.0,0.4
gated_alive:a_001:27801,a_001,27801,-30.5754451751709,-19.533414840698242,5,0,0,0.0,0.0
gated_alive:a_001:28099,a_001,28099,-19.92899513244629,37.487918853759766,5,0,0,0.0,0.0
gated_alive:a_001:28475,a_001,28475,-11.30603313446045,35.187679290771484,5,0,0,0.0,0.0
gated_alive:a_001:28482,a_001,28482,-16.58662986755371,54.2150764465332,5,0,0,0.0,0.0
gated_alive:a_001:29024,a_001,29024,-31.59319496154785,-28.878917694091797,5,0,0,0.0,0.0
