cell_id,sample_id,event_index
gated_alive:a_001:34268,a_001,34268
gated_alive:a_001:34300,a_001,34300
gated_alive:a_001:34330,a_001,34330
gated_alive:a_001:34488,a_001,34488
gated_alive:a_001:35060,a_001,35060
gated_alive:a_001:35433,a_001,35433
gated_alive:a_001:35458,a_001,35458
gated_alive:a_001:35558,a_001,35558
gated_alive:a_001:35604,a_001,35604
gated_alive:a_001:35650,a_001,35650
gated_alive:a_001:35663,a_001,35663
gated_alive:a_001:35686,a_001,35686
gated_alive:a_001:35755,a_001,35755
gated_alive:a_001:35795,a_001,35795
gated_alive:a_001:35805,a_001,35805
gated_alive:a_001:35912,a_001,35912
gated_alive:a_001:36024,a_001,36024
gated_alive:a_001:36044,a_001,36044
gated_alive:a_001:36223,a_001,36223
gated_alive:a_001:36295,a_001,36295
gated_alive:a_001:36488,a_001,36488
gated_alive:a_001:36589,a_001,36589
gated_alive:a_001:36675,a_001,36675
gated_alive:a_001:36697,a_001,36697
gated_alive:a_001:36861,a_001,36861
gated_alive:a_001:36864,a_001,36864
gated_alive:a_001:36872,a_001,36872
gated_alive:a_001:37394,a_001,37394
gated_alive:a_001:37521,a_001,37521
gated_alive:a_001:37602,a_001,37602
gated_alive:a_001:37795,a_001,37795
gated_alive:a_001:37873,a_001,37873
gated_alive:a_001:37913,a_001,37913
gated_alive:a_001:38008,a_001,38008
gated_alive:a_001:38109,a_001,38109
gated_alive:a_001:38214,a_001,38214
gated_alive:a_001:38349,a_001,38349
gated_alive:a_001:38453,a_001,38453
gated_alive:a_001:38464,a_001,38464
gated_alive:a_001:38592,a_001,38592
gated_alive:a_001:38605,a_001,38605
gated_alive:a_001:38636,a_001,38636
gated_alive:a_001:38880,a_001,38880
gated_alive:a_001:38960,a_001,38960
gated_alive:a_001:39597,a_001,39597
gated_alive:a_001:39957,a_001,39957
gated_alive:a_001:40194,a_001,40194
gated_alive:a_001:40290,a_001,40290
gated_alive:a_001:40435,a_001,40435
gated_alive:a_001:40544,a_001,40544
gated_alive:a_001:40608,a_001,40608
gated_alive:a_001:40645,a_001,40645
gated_alive:a_001:40758,a_001,40758
gated_alive:a_001:40784,a_001,40784
gated_alive:a_001:40951,a_001,40951
gated_alive:a_001:41057,a_001,41057
gated_alive:a_001:41069,a_001,41069
gated_alive:a_001:41087,a_001,41087
gated_alive:a_001:41175,a_001,41175
gated_alive:a_001:41402,a_001,41402
gated_alive:a_001:41428,a_001,41428
gated_alive:a_001:41642,a_001,41642
gated_alive:a_001:41823,a_001,41823
gated_alive:a_001:42002,a_001,42002
gated_alive:a_001:42321,a_001,42321
gated_alive:a_001:42644,a_001,42644
gated_alive:a_001:42757,a_001,42757
gated_alive:a_001:42866,a_001,42866
gated_alive:a_001:43084,a_001,43084
gated_alive:a_001:43688,a_001,43688
gated_alive:a_001:43812,a_001,43812
gated_alive:a_001:44525,a_001,44525
gated_alive:a_001:44581,a_001,44581
gated_alive:a_001:44645,a_001,44645
gated_alive:a_001:44753,a_001,44753
gated_alive:a_001:44755,a_001,44755
gated_alive:a_001:44875,a_001,44875
gated_alive:a_001:44922,a_001,44922
gated_alive:a_001:45369,a_001,45369
gated_alive:a_001:45397,a_001,45397
gated_alive:a_001:45504,a_001,45504
gated_alive:a_001:45528,a_001,45528
gated_alive:a_001:45583,a_001,45583
gated_alive:a_001:45666,a_001,45666
gated_alive:a_001:45681,a_001,45681
gated_alive:a_001:45831,a_001,45831
gated_alive:a_001:46234,a_001,46234
gated_alive:a_001:46321,a_001,46321
gated_alive:a_001:46335,a_001,46335
gated_alive:a_001:46602,a_001,46602
gated_alive:a_001:46665,a_001,46665
gated_alive:a_001:46945,a_001,46945
gated_alive:a_001:47090,a_001,47090
gated_alive:a_001:47526,a_001,47526
gated_alive:a_001:47699,a_001,47699
gated_alive:a_001:47795,a_001,47795
gated_alive:a_001:47934,a_001,47934
gated_alive:a_001:48236,a_001,48236
gated_alive:a_001:48510,a_001,48510
gated_alive:a_001:49049,a_001,49049
gated_alive:a_001:49115,a_001,49115
gated_alive:a_001:49280,a_001,49280
gated_alive:a_001:49409,a_001,49409
gated_alive:a_001:49646,a_001,49646
gated_alive:a_001:49800,a_001,49800
gated_alive:a_001:49883,a_001,49883
gated_alive:a_001:50278,a_001,50278
gated_alive:a_001:50491,a_001,50491
gated_alive:a_001:51096,a_001,51096
gated_alive:a_001:51479,a_001,51479
gated_alive:a_001:51583,a_001,51583
gated_alive:a_001:51600,a_001,51600
gated_alive:a_001:51693,a_001,51693
gated_alive:a_001:51710,a_001,51710
gated_alive:a_001:52017,a_001,52017
gated_alive:a_001:52160,a_001,52160
gated_alive:a_001:52164,a_001,52164
gated_alive:a_001:52165,a_001,52165
gated_alive:a_001:52202,a_001,52202
gated_alive:a_001:52700,a_001,52700
gated_alive:a_001:53331,a_001,53331
gated_alive:a_001:53561,a_001,53561
gated_alive:a_001:53628,a_001,53628
gated_alive:a_001:54164,a_001,54164
gated_alive:a_001:54221,a_001,54221
gated_alive:a_001:54263,a_001,54263
gated_alive:a_001:54385,a_001,54385
gated_alive:a_001:54430,a_001,54430
gated_alive:a_001:54464,a_001,54464
gated_alive:a_001:54472,a_001,54472
